county_desc,county_fips,election_date,election_desc,voters_voted,registered_active,turnout_rate
EDGECOMBE,033,2024-11-05,11/05/2024 GENERAL,24484,29800,0.8216107382550336
FORSYTH,034,2024-11-05,11/05/2024 GENERAL,205132,232751,0.8813367074684963
FRANKLIN,035,2024-11-05,11/05/2024 GENERAL,43235,49364,0.8758406936228831
GASTON,036,2024-11-05,11/05/2024 GENERAL,120123,137267,0.8751047229122805
GATES,037,2024-11-05,11/05/2024 GENERAL,5884,6818,0.8630096802581402
GRAHAM,038,2024-11-05,11/05/2024 GENERAL,4858,5496,0.88391557496361
GRANVILLE,039,2024-11-05,11/05/2024 GENERAL,32256,35940,0.8974958263772955
GREENE,040,2024-11-05,11/05/2024 GENERAL,8472,9650,0.8779274611398964
GUILFORD,041,2024-11-05,11/05/2024 GENERAL,285096,328465,0.8679646233236418
HALIFAX,042,2024-11-05,11/05/2024 GENERAL,24011,28105,0.8543319694004625
HARNETT,043,2024-11-05,11/05/2024 GENERAL,64783,77329,0.8377581502411773
HAYWOOD,044,2024-11-05,11/05/2024 GENERAL,38102,42974,0.8866291245869595
HENDERSON,045,2024-11-05,11/05/2024 GENERAL,70608,79927,0.8834061080736172
HERTFORD,046,2024-11-05,11/05/2024 GENERAL,9888,11269,0.8774514153873458
HOKE,047,2024-11-05,11/05/2024 GENERAL,22884,29570,0.7738924585728779
HYDE,048,2024-11-05,11/05/2024 GENERAL,2430,2692,0.9026745913818722
IREDELL,049,2024-11-05,11/05/2024 GENERAL,111607,130147,0.8575456983257393
JACKSON,050,2024-11-05,11/05/2024 GENERAL,22096,25630,0.8621147093250098
JOHNSTON,051,2024-11-05,11/05/2024 GENERAL,125928,147334,0.854711064655816
JONES,052,2024-11-05,11/05/2024 GENERAL,5501,6197,0.8876875907697273
LEE,053,2024-11-05,11/05/2024 GENERAL,30267,35208,0.8596625766871165
LENOIR,054,2024-11-05,11/05/2024 GENERAL,27562,32412,0.8503640626928298
LINCOLN,055,2024-11-05,11/05/2024 GENERAL,55664,62593,0.8893007205278546
MACON,056,2024-11-05,11/05/2024 GENERAL,22098,25538,0.8652987704597072
MADISON,057,2024-11-05,11/05/2024 GENERAL,13726,15190,0.9036208031599736
MARTIN,058,2024-11-05,11/05/2024 GENERAL,12076,14415,0.8377384668747833
MCDOWELL,059,2024-11-05,11/05/2024 GENERAL,23746,27243,0.8716367507249568
MECKLENBURG,060,2024-11-05,11/05/2024 GENERAL,577151,686093,0.8412139462142887
MITCHELL,061,2024-11-05,11/05/2024 GENERAL,8921,10068,0.8860746920937624
MONTGOMERY,062,2024-11-05,11/05/2024 GENERAL,13319,15081,0.8831642464027585
MOORE,063,2024-11-05,11/05/2024 GENERAL,62207,71522,0.8697603534576773
NASH,064,2024-11-05,11/05/2024 GENERAL,52780,60741,0.8689353155199947
NEW HANOVER,065,2024-11-05,11/05/2024 GENERAL,138781,158459,0.8758164572539269
NORTHAMPTON,066,2024-11-05,11/05/2024 GENERAL,9269,10776,0.8601521900519673
ONSLOW,067,2024-11-05,11/05/2024 GENERAL,81817,106767,0.7663135613063962
ORANGE,068,2024-11-05,11/05/2024 GENERAL,87454,97203,0.8997047416232009
PAMLICO,069,2024-11-05,11/05/2024 GENERAL,8062,9127,0.8833132464117454
PASQUOTANK,070,2024-11-05,11/05/2024 GENERAL,20395,25646,0.7952507213600561
PENDER,071,2024-11-05,11/05/2024 GENERAL,39338,46005,0.8550809694598414
PERQUIMANS,072,2024-11-05,11/05/2024 GENERAL,7732,9008,0.8583481349911191
PERSON,073,2024-11-05,11/05/2024 GENERAL,22219,24614,0.9026976517429105
PITT,074,2024-11-05,11/05/2024 GENERAL,87779,105271,0.8338383790407614
POLK,075,2024-11-05,11/05/2024 GENERAL,13202,15037,0.8779676797233491
RANDOLPH,076,2024-11-05,11/05/2024 GENERAL,76285,86833,0.8785254453951838
RICHMOND,077,2024-11-05,11/05/2024 GENERAL,19917,24032,0.8287699733688415
ROBESON,078,2024-11-05,11/05/2024 GENERAL,46983,62455,0.7522696341365783
ROCKINGHAM,079,2024-11-05,11/05/2024 GENERAL,50028,55737,0.8975725281231498
ROWAN,080,2024-11-05,11/05/2024 GENERAL,76042,87263,0.8714117094301136
RUTHERFORD,081,2024-11-05,11/05/2024 GENERAL,34879,40333,0.8647757419482806
SAMPSON,082,2024-11-05,11/05/2024 GENERAL,28307,32625,0.8676475095785441
SCOTLAND,083,2024-11-05,11/05/2024 GENERAL,14705,18454,0.7968462122033163
