election_date,county_desc,party_cd,race_code,ethnic_code,sex_code,age_group,registered_count,voted_count,turnout_rate
2025-11-04,ASHE,DEM,W,NL,M,Age Over 66,617,16,0.02593192868719611
2025-11-04,FORSYTH,DEM,W,NL,F,Age Over 66,6313,439,0.06953904641216538
2025-11-04,LENOIR,REP,W,NL,M,Age Over 66,993,65,0.06545820745216516
2025-11-04,FORSYTH,DEM,A,UN,M,Age 41 - 65,45,2,0.044444444444444446
2025-11-04,MECKLENBURG,LIB,W,NL,F,Age 18 - 25,105,5,0.047619047619047616
2025-11-04,HOKE,UNA,I,NL,F,Age 41 - 65,131,2,0.015267175572519083
2025-11-04,JOHNSTON,UNA,I,NL,M,Age Over 66,5,1,0.2
2025-11-04,ORANGE,UNA,W,UN,F,Age 18 - 25,1114,50,0.04488330341113106
2025-11-04,MONTGOMERY,UNA,U,UN,F,Age 18 - 25,18,1,0.05555555555555555
2025-11-04,GUILFORD,DEM,B,NL,M,Age 26 - 40,5379,284,0.05279791782859267
2025-11-04,WAKE,REP,M,HL,M,Age 41 - 65,26,5,0.19230769230769232
2025-11-04,HARNETT,DEM,B,UN,F,Age 18 - 25,262,1,0.003816793893129771
2025-11-04,CUMBERLAND,REP,B,NL,M,Age 26 - 40,339,4,0.011799410029498525
2025-11-04,CABARRUS,REP,W,NL,F,Age 18 - 25,1013,38,0.03751233958538993
2025-11-04,UNION,UNA,W,NL,F,Age Over 66,3463,447,0.12907883338146117
2025-11-04,CUMBERLAND,UNA,I,UN,F,Age 26 - 40,50,2,0.04
2025-11-04,ALAMANCE,DEM,W,NL,M,Age 18 - 25,258,14,0.05426356589147287
2025-11-04,PITT,UNA,W,HL,F,Age 18 - 25,52,1,0.019230769230769232
2025-11-04,HAYWOOD,UNA,W,UN,M,Age Over 66,402,27,0.06716417910447761
2025-11-04,PITT,DEM,B,UN,F,Age 41 - 65,1126,168,0.1492007104795737
2025-11-04,DURHAM,DEM,M,UN,M,Age 41 - 65,37,6,0.16216216216216217
2025-11-04,JOHNSTON,REP,W,HL,F,Age 26 - 40,69,2,0.028985507246376812
2025-11-04,NEW HANOVER,REP,W,HL,M,Age 26 - 40,22,2,0.09090909090909091
2025-11-04,DAVIDSON,UNA,O,HL,M,Age 18 - 25,311,5,0.01607717041800643
2025-11-04,ORANGE,UNA,U,UN,U,Age Over 66,352,40,0.11363636363636363
2025-11-04,LEE,DEM,W,NL,F,Age 41 - 65,718,82,0.11420612813370473
2025-11-04,CRAVEN,UNA,O,NL,M,Age 26 - 40,37,1,0.02702702702702703
2025-11-04,COLUMBUS,REP,U,UN,F,Age 41 - 65,12,1,0.08333333333333333
2025-11-04,CABARRUS,REP,O,HL,F,Age 18 - 25,72,1,0.013888888888888888
2025-11-04,DURHAM,UNA,W,NL,M,Age 26 - 40,5656,859,0.15187411598302689
2025-11-04,ORANGE,DEM,O,HL,F,Age 26 - 40,171,13,0.07602339181286549
2025-11-04,JOHNSTON,UNA,B,UN,F,Age 26 - 40,473,6,0.012684989429175475
2025-11-04,CHEROKEE,UNA,W,UN,M,Age 18 - 25,147,2,0.013605442176870748
2025-11-04,GRANVILLE,REP,W,UN,U,Age 26 - 40,32,1,0.03125
2025-11-04,MACON,DEM,U,UN,U,Age 41 - 65,21,2,0.09523809523809523
2025-11-04,GUILFORD,REP,O,NL,F,Age Over 66,76,12,0.15789473684210525
2025-11-04,MECKLENBURG,LIB,U,UN,U,Age 41 - 65,113,8,0.07079646017699115
2025-11-04,WILKES,UNA,O,HL,F,Age 41 - 65,26,1,0.038461538461538464
2025-11-04,DAVIDSON,DEM,O,NL,F,Age 26 - 40,31,1,0.03225806451612903
2025-11-04,ALAMANCE,DEM,M,UN,F,Age 41 - 65,17,1,0.058823529411764705
2025-11-04,DURHAM,LIB,W,NL,M,Age Over 66,22,1,0.045454545454545456
2025-11-04,BUNCOMBE,REP,U,NL,M,Age Over 66,16,1,0.0625
2025-11-04,MECKLENBURG,DEM,B,UN,U,Age 18 - 25,109,5,0.045871559633027525
2025-11-04,FRANKLIN,REP,W,NL,M,Age 41 - 65,2414,42,0.01739850869925435
2025-11-04,CLEVELAND,DEM,B,NL,M,Age 26 - 40,530,16,0.03018867924528302
2025-11-04,IREDELL,DEM,B,UN,F,Age 26 - 40,369,24,0.06504065040650407
2025-11-04,HAYWOOD,DEM,W,UN,U,Age 26 - 40,10,1,0.1
2025-11-04,MECKLENBURG,REP,M,HL,M,Age 41 - 65,20,2,0.1
2025-11-04,MECKLENBURG,UNA,M,UN,U,Age 26 - 40,21,2,0.09523809523809523
2025-11-04,DAVIE,UNA,W,UN,F,Age 41 - 65,423,18,0.0425531914893617
2025-11-04,RICHMOND,DEM,W,UN,F,Age Over 66,82,6,0.07317073170731707
2025-11-04,NORTHAMPTON,DEM,W,UN,F,Age Over 66,33,2,0.06060606060606061
2025-11-04,BERTIE,DEM,U,UN,U,Age Over 66,37,3,0.08108108108108109
2025-11-04,BUNCOMBE,UNA,W,UN,U,Age 18 - 25,22,1,0.045454545454545456
2025-11-04,DARE,UNA,W,UN,F,Age 41 - 65,1492,164,0.10991957104557641
2025-11-04,PENDER,UNA,U,UN,F,Age 41 - 65,81,3,0.037037037037037035
